;Nobelprijs;Achternaam;Voornamen;Roepnaam;Geslacht;Titulatuur 1;Geboortedatum;Geboorteplaats;Geboorteland;Sterfdatum;Sterfplaats;Land van overlijden;Examentype;Instelling;Datum;Proefschrift;Aanstelling I;Vakgebied I;Datum aanstelling I;Ambtsaanvaarding I;Leeropdracht I;Datum oratie I;Oratie/openbare les;Faculteit I;Einde dienstverband I;Reden I;Bijzonderheden I;Aanstelling II;Vakgebied II;Datum aanstelling II;Ambtsaanvaarding II;Leeropdracht II (Onderwijs of Vakgebied);Datum oratie II;Oratie/Openbare les II;Faculteit II;Einde dienstverband II;Reden II;Bijzonderheden II;Aanstelling III;Vakgebied III;Datum aanstelling III;Ambtsaanvaarding III;Leeropdracht III (Onderwijs of Vakgebied);Datum oratie III;Oratie/openbare les III;Faculteit III;Einde dienstverband III;Reden III;Bijzonderheden III;Aanstelling IV;Vakgebied IV;Datum aanstelling IV;Ambtsaanvaarding IV;Leeropdracht IV (Onderwijs of Vakgebied);Datum oratie IV;Oratie/openbare les IV;Faculteit IV;Einde dienstverband IV;Reden IV;Bijzonderheden IV;CV 1;CV 2;VIAF;Handle;NTA / PPN
79;;Bake (Bakius);Jan;;Man;;1-9-1787;Leiden;Nederland;26-3-1864;Leiden;Nederland;Promotie;Leiden;21-8-1810;Theses juridicae inaugurales;Buitengewoon Hoogleraar;Klassieke Talen;16-10-1815;;Griekse en Latijnse letterkunde;25-11-1815;;Letteren;;;1810 Genoemd als Eredoctor.;Gewoon Hoogleraar;Klassieke Talen;1817;;Griekse en Latijnse letterkunde;14-6-1817;;;1-10-1857;Ontslag wegens emeritaat;Rector Magnificus 1828-1829;;;;;;;;;;;;;;;;;;;;;;;"(BESPIEGELENDE WIJSBEGEERTE EN LETTEREN) 1815-1857, Buitengewoon
Hoogleeraar 1815-1817, Gewoon Hoogleeraar 1817-1857.";zie: Nieuw Nederl. Biogr. Woordenboek II K. 78.;47503521;"1623478; 1624485";69853274
85;;Bakhuizen van den Brink;Jan Nicolaas;;Man;;25-5-1896;Joure;Nederland;5-11-1987;Leiden;Nederland;Promotie;Leiden;1923;De oud-christelijke monumenten van Ephesus : epigraphische studie;Gewoon Hoogleraar;"Bijbelwetenschap;Dogmatiek;Geschiedenis van de Godsdienst;Kerkelijke Geschiedenis";9-3-1934;;De Geschiedenis van het Christendom en van de Leerstellingen van den Christelijken Godsdienst, benevens de Geschiedenis van het Gereformeerd Protestantisme.;1-6-1934;Incarnatie en verlossing bij Irenaeus;Godgeleerdheid;1-9-1966;Ontslag wegens Emeritaat;"1943-03-31 Eervol ontslag op eigen verzoek. 1945-09-04  Herbenoemd. Rector Magnificus 1954-1955. 1955-02-08 Diesrede: ""Michel Angelo en het gewelf van de Sixtijnse kapel"". 1966-05-31 Afscheidscollege: ""Humilitas bij Pascal en Augustinus""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1934 blz. 75 en KNAW 1989 blz. 121-125.;27032804;1277062;68675593
86;;Bakhuis Roozeboom;Hendrik Willem;;Man;;24-10-1854;Alkmaar;Nederland;8-2-1907;Amsterdam;Nederland;Promotie;Leiden;1884;Over de hydraten van zwavelig-zuur chloor, broom en chloorwaterstof;Gewoon Lector;Scheikunde;11-2-1893;;;;;Wiskunde en Natuurwetenschappen;1896;;Kreeg titel Lector Wis- en Natuurkunde, als assistant voor Scheikunde, voor zolang hij dez betrekking zou bekleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Wis- EN NATUURKUNDE) 1893-1896 Lector.;"zie: J. P. Kuenen in „Gedenkboek van het Bataafsch Genootschap 1769-1919"": - W. P. Jorissen
en W. E. Ringer in „Mannen en Vrouwen van beteekenis"" 1907: - A. F. Holleman in
Chemisch Weekblad IV: - Gedenkboek van het Athenaeum en de Universiteit van Amsterd";57356063;;67586805
90;;Bakker;Kornelis;Kees;Man;;28-4-1931;Winterswijk;Nederland;3-11-2010;Leiden?;Nederland;Promotie;Leiden;1961;An analysis of factors which determine success in competition for food among larvae of Drosophila melanogaster;Gewoon Lector;Biologie;19-8-1964;1-9-1964;Algemene dierkunde;25-5-1965;Over de betekenis van concurrentie bij dieren;Wiskunde en Natuurwetenschappen;;;;Gewoon Hoogleraar;Biologie;17-6-1970;;Dierlijke oecologie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1965/66 blz. 232.;286687736;;71338152
92;;Baljon;Johannes Marinus Simon;;Man;;18-7-1919;Modjowarno;Nederlands-Indië;3-2-2001;;;Promotie;Utrecht;1949;The reforms and religious ideas of Sir Sayyid A?mad Khân;Gewoon Hoogleraar;Islam;14-8-1971;1-9-1971;Islamologie;13-10-1972;De Motivatie van de Moslimse Pelgrim;Letteren;1-8-1984;Eervol ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1973 blz. 64.;6351064;;71751866
93;;Balland;Justin Joseph;;Man;;8-1-1832;;;7-9-1910;;;;;;;Gewoon Lector;Franse Taal- en Letterkunde;1875;;;;;Letteren;1878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(LETTEREN EN WIJSBEGEERTE) 1875-1878. Lector.
Lector Fransche Letterkunde 1875-1878.
Omtrent hem niets gevonden.";;289122784;;141360402
95;;Ban;Franciscus du;;Man;;ca. 1592;Autun;Nederland;-1648;Leiden;Nederland;;;1635;;Bijzonder Hoogleraar;Retorica;11-8-1636;;;;;Letteren;1638;;"21 augustus 1635 gemachtigd voorlezingen te houden over Redeneerkunde; 9 februari 1638 tevens hoogleraar Natuurkunde; 1941 tevens hoogleraar Zedekunde, doch onderweeg geen Redeneerkunde meer";Gewoon Hoogleraar;Natuurkunde;9-2-1638;;;;;;;;;Gewoon Hoogleraar;"Ethiek;Natuurkunde";;;;;;;1643;Overleden;;;;22-6-1641;;;;;;;;;(REDENEERKUNDE, NATUURKUNDE, ZEDEKUNDE) 1635-1643, Lector 1635-;"zie: Molhuysen „Bronnen"" II: - van der Aa II: - Nieuw Nederl. Biogr. Woordenboek III K 58:
- Gustave Cohen „Ecrivains francais en Hollande dans la première moitié du XVIIe Siècle"".";283991287;;114823294
100;;Banning;Willem;;Man;;21-2-1888;Makkum;Nederland;7-1-1971;Driebergen-Rijsenburg;Nederland;Promotie;Leiden;1931;Jaurès als denker;Buitengewoon Hoogleraar;Kerkelijke Geschiedenis;31-12-1945;;Kerkelijke Sociologie;12-4-1946;Over de ontmoeting van Theologie en Sociologie;Godgeleerdheid;;;;Buitengewoon Hoogleraar;Sociologie;24-5-1952;;Wijsgerige Sociologie;;;;14-5-1958;Ontslag wegens Emeritaat.;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1946 deel II blz. 46 en JB LUF 1971 blz. 70.;42636133;;06855463X
103;;Barge;Joannes Antonius James;Ton;Man;;27-1-1884;Semarang;Nederlands-Indië;18-2-1952;Leiden;Nederland;Promotie;Amsterdam;1912;Friesche en Marker schedels : bijdrage tot de kennis van de anthropologie der bevolking van Nederland;Gewoon Hoogleraar;;24-1-1919;;Anatomie en Embryologie;17-5-1919;Vorm en Functie;Geneeskunde;27-1-1949;Ontslag wegens emeritaat;Rector Magnificus 1937-1938. 1942-05-30  Eervol ontslag op eigen verzoek. 1945-09-04  Herbenoemd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der RU. te Leiden 1919 blz. 87 en In Mem. 1952 blz. 101 en JB Mij der
            Ned. Letterk. 1956/57 blz. 21.";62590824;"1581993; 1277277; 1654977; 1277205";69171777
105;;Barlaeus (van Baerle);Caspar;;Man;;12-2-1584;Antwerpen;België;14-1-1648;Amsterdam;Nederland;;;;;Gewoon Hoogleraar;Retorica;28-11-1617;;;2-2-1618;;Letteren;31-8-1619;"Ontslag ""wegens aankleving der Remonstranten""; 1631 vertrek naar Amsterdam";(Ethices et Logices);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(Statencollege EN REDENEERKUNST) 1612-1619. Onderregent Statencollege
en Hoogleeraar. Onderregent 1612-1619, Hoogleeraar 1617-1619.";"zie: Molhuysen „Bronnen"" II; - Nieuw Nederl. Biogr. Woordenboek II K. 67; - Gedenkboek
van het Athenaeum en de Universiteit van Amsterdam 1632-1932 blz. 542.";29555944;"1621732; 1622451; 1620420; 1623692; 1621727; 1621547; 1624341; 1621099; 1619913; 1624856; 1625908; 1622275";06866544X
106;;Barlaeus (van Baerle);Lambertus;Lambrecht;Man;;18-1-1592;Zaltbommel;Nederland;17-6-1655;Leiden;Nederland;;;;;Buitengewoon Hoogleraar;Klassieke Talen;22-6-1641;;Grieks;;;Letteren;;;;Gewoon Hoogleraar;Klassieke Talen;2-12-1647;;Grieks;;;Letteren;1655;Overleden;;;;;;;;;;;;;;;;;;;;;;;;(GRIEKSCH) 1641-1655. Hoogleeraar.;"zie: Molhuysen „Bronnen"" II en III: - Nieuw Nederl. Biogr. Woordenboek II K 71: - van
der Aa II.";65112918;;69853290
111;;Bastet;Frédéric Louis;;Man;;20-9-1926;Haarlem;Nederland;30-6-2008;Oegstgeest;Nederland;Promotie;Leiden;1958;De datum van het grote hypogaeum bij de Porta Maggiore te Rome;Gewoon Lector;Klassieke Archeologie;10-9-1963;1-10-1963;Klassieke archeologie;28-4-1964;Reizigers naar Rome;Archeologie;;;;Gewoon Hoogleraar;Archeologie;6-12-1965;;Archeologie;25-3-1966;Simulacrum valde ridiculosum;;1-10-1976;Eervol ontslag op eigen verzoek;Naar Rijksmuseum van Oudheden te Leiden;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1966/67 blz. 235.;89663175;;68680546
113;;Bastiaans;Jan;;Man;;27-5-1917;Rotterdam;Nederland;31-10-1997;Warmond;Nederland;Promotie;Amsterdam;1957;Psychosomatische gevolgen van onderdrukking en verzet;Gewoon Hoogleraar;Psychiatrie;4-11-1963;1-1-1964;Psychiatrie;23-10-1964;Ontstoren van contact;Geneeskunde;1-6-1985;Eervol ontslag;"1985-06-28 Afscheidscollege: ""Zekerheid, isolement en bevrijding""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1965 blz. 221.;2509051;1276063;68204450
115;;Bastingius;Jeremias;;Man;;1554;Calais;Frankrijk;20-10-1595;Leiden;Nederland;;;;;Gewoon Hoogleraar;;24-5-1595;;;;;Godgeleerdheid;16-10-1595;Overleden;Was hoogleraar maar gaf geen les;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(Statencollege EN GODGELEERDHEID) 1593-1595; Regent Statencollege";"zie: Molhuysen „Bronnen"" I: - Nieuw Nederl. Biogr. Woordenboek I K 239: - Gustave Cohen
„Ecrivains francais en Hollande dans la première moitié du XVlIe Siècle"".";30627636;"1622787; 1625303; 1624793; 1624402";69367930
116;;Baudius;Dominicus;;Man;;8-4-1561;Lille;Frankrijk;22-8-1613;Leiden;Nederland;;;;;Buitengewoon Hoogleraar;"Geschiedenis;Retorica";11-5-1603;;;;;Letteren;;;9 februari 1607 tevens Hoogleraar Rechten;Gewoon Hoogleraar;;9-2-1607;;;;;;;;;Buitengewoon Hoogleraar;Geschiedenis;8-5-1608;;;;;Letteren;;;;Gewoon Hoogleraar;Geschiedenis;8-2-1611;;;;;Letteren;1612;;"wegens zijn ""oneerlijk leven"" enige tijd geschorst";"(WELSPREKENDHEID, HISTORIE EN RECHTEN) 1603-1Ó12, Hoogleeraar.
l603 Mei 11 Buitengewoon Hoogleeraar Welsprekendheid.
\607 ¥ebt. 9 Tereos, Hoaglsstaas; Itecbteo..
1Ó08 Mei 8 Buitengewoon Hoogleeraar Historie en Rechten.
l 6 l l Mei 8 Alleen Gewoon Hoogleer";;24718080;"1619827; 1623259; 1625836; 1625428; 1622107; 1623428; 1624699; 1625086; 1622484; 1621709; 1625578; 1621729; 1619501; 1619919; 1623054; 1625563";69490945
121;;Beattie;John Hugh Marshall;;Man;;8-5-1915;Liverpool;Verenigd Koninkrijk, Engeland;13-4-1990;Oxford;Verenigd Koninkrijk, Engeland;Promotie;Oxford;1958;Nyoro kinship, marriage and affinity;Buitengewoon Hoogleraar;"Afrikaanse Talen en Culturen;Sociologie";11-2-1971;;Sociologie en Cultuurkunde van Afrika;;;Sociale Wetenschappen;31-8-1971;;;Gewoon Hoogleraar;"Afrikaanse Talen en Culturen;Sociologie";1-9-1971;;Sociologie en Cultuurkunde van Afrika;2-11-1973;Social Anthropology and Africa;;31-8-1975;Einde herbenoeming;1973-07-28  Herbenoemd voor het tijdvak van 1973-09-01 t/m 1975-08-31;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1970-1975 blz. 67.;19754652;;73242144
123;;Beeckerts van Thienen;Adriaan;;Man;;1623;Leiden;Nederland;5-9-1669;Leiden;Nederland;;;;;Buitengewoon Hoogleraar;;8-6-1654;;;9-7-1654;;Rechtsgeleerdheid;;;"Rector Magnificus 1657-1658; 1663-1664";Gewoon Hoogleraar;Romeins Recht;8-5-1655;;Pandecten;;;;;;;Gewoon Hoogleraar;"Internationaal Recht;Staatsrecht";8-5-1655;;Staats- en Volkenrecht;;;Rechtsgeleerdheid;1669;Overleden;"Doceerde Pandecten in 1659; 8 februari 1667 Als titel tevens hoogleraar Staats- en Volkenrecht tot zijn dood";;;;;;;;;;;;(RECHTSGELEERDHEID) 1654-1669, Hoogleeraar.;"zie: Molhuysen „Bronnen"" III: - Nieuw Nederl. Biogt. Woordenboek III K. 76.";61218918;"1625409; 1581981; 1625372; 1621904; 1621117";69410011
124;;Beeck Calkoen;Jan Frederik van;;Man;;5-5-1772;Groningen;Nederland;25-3-1811;Utrecht;Nederland;;;;;Buitengewoon Hoogleraar;;31-5-1799;;Natuurlijke wijsbegeerte;5-10-1799;;Wijsbegeerte;;;Buitengewoon Hoogleraar Natuurlijke Wijsbegeerte en Wiskunde, speciaal Sterrekunde en Hydraulica;Gewoon Hoogleraar;Sterrenkunde;31-5-1799;;Speciaal sterrekunde en hydraulica;10-4-1804;;;20-6-1805;vertrokken naar Utrecht;;;;;;;;;;;;;;;;;;;;;;;;(NATUURLIJKE WIJSBEGEERTE EN WISKUNDE) 1799-lg05, Hoogleeraar.;"zie: Molhuysen „Bronnen"" VII: - Nieuw Nederl. Biogr. Woordenboek IX K. 123.";52050341;"1623089; 1621025; 1620463";69932700
129;;Beenakker;Joannes Joseph Maria;Jan;Man;;1-2-1926;Koog aan de Zaan;Nederland;23-7-1998;Leiden;Nederland;Promotie;Leiden;1954;De invloed van het heliumisotoop met massa 3 op de eigenschappen van vloeibaar helium II;Gewoon Lector;Natuurkunde;20-6-1959;16-9-1959;Experimentele natuurkunde;29-3-1960;De intermoleculaire krachten en de transportverschijnselen in verdunde gassen;Wiskunde en Natuurwetenschappen;;;;Gewoon Hoogleraar;Natuurkunde;8-5-1963;;Experimentele natuurkunde;29-11-1963;Communicatie in de natuurkunde;;1-3-1991;;"1984-08-22  Benoemd tot Rector Magnificus voor het tijdvak van 1985-09-01 tot 1987-09-01. Tevens lid van College van Bestuur.1988-02-08 Diesrede: ""Gassen met roterende moleculen""";;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1964/65 blz. 205.;285340003;"1581745; 1581897; 1654912";73416584
131;;Beerling;Reinier Franciscus;;Man;;7-4-1905;Gorinchem;Nederland;29-11-1979;Leiden;Nederland;Promotie;Amsterdam;1945;Moderne doodsproblematiek : een vergelijkende studie over Simmel, Heidegger en Jaspers;Gewoon Hoogleraar;"Geschiedenis;Sociologie";13-10-1958;1-11-1958;Wijsgerige Sociologie. 1971-02-10 Leeropdracht uitgebreid met de Wijsbegeerte der Geschiedenis;30-1-1959;Filosofie, maatschappij, maatschappij-wetenschap;Wijsbegeerte;1-9-1973;1973-04-19  Ontslag wegens emeritaat, miv 1973-09-01.;"1968-04-26  Gerekend van 1963-09-01 tevens benoemd in de faculteit der Sociale Wetenschappen en in de Centrale Interfaculteit. 1973-10-05 Afscheidscollege: ""Klein mens-en tijdsbeeld""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1959 blz. 150 en JB;110132683;;68799349
133;;Beets;Nicolaas;;Man;;17-5-1915;Arnhem;Nederland;5-3-1986;Utrecht;Nederland;Promotie;Utrecht;1954;De jongen in de puberale periode : een bijdrage tot de anthropologische psychologie van de jongen;Buitengewoon Hoogleraar;Psychologie;27-9-1961;;Algemene Psychodiagnostiek;9-3-1962;In verstaanbare taal;Sociale Wetenschappen;;;;Buitengewoon Hoogleraar;Psychologie;1-9-1963;;Algemene Psychodiagnostiek. 1967-06-14  Onderwijsopdracht gewijzigd in: Behandelingsmethoden in de jeugdjaren(pubertijd) en de algemene psychodiagnostiek;;;Sociale Wetenschappen;1-1-1976;1975-12-11  Eervol ontslag miv 1976-01-01.;26 april 1968  Gerekend van 1963-09-01 Buitengewoon Hoogleraar Sociale Wetenschappen;;;;;;;;;;;26 april 1968  Gerekend van 1 september 1963 buitengewoon hoogleraar Sociale Wetenschappen;;;;;;;;;;;;(puberteit) en de algemene psychodiagnostiek.;zie: JB der R.U. te Leiden 1962 blz. 195.;57942319;;68322356
141;;Bemmelen jr.;Jacob Maarten van;;Man;;20-4-1898;Den Haag;Nederland;12-1-1982;Dordrecht;Nederland;Promotie;Groningen;1923;Van zedelijke verbetering tot reclasseering : geschiedenis van het Nederlandsch Genootschap tot Zedelijke Verbetering der Gevangenen 1823-1923;Gewoon Hoogleraar;"Criminologie;Strafrecht";7-4-1931;;Strafrecht en Strafvordering en Criminologie;2-10-1931;De beteekenis van het strafrecht voor den normalen mensch;Rechtsgeleerdheid;1-9-1968;Ontslag wegens emeritaat;1942-05-30  Eervol ontslag op eigen verzoek. 1945-09-04  Herbenoemd. 1953-1954 Recoraat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1932 blz. 110.;79090940;1664365;68183097
143;;Bennet;Jan Aarnout;Arnold;Man;;20-12-1758;Breda;Nederland;9-9-1828;Leiden;Nederland;;;;;Gewoon Hoogleraar;Landhuishoudkunde;16-10-1815;;Landhuishoudkunde;;;Wiskunde en Natuurwetenschappen;18-2-1817;Eervol ontslag op eigen verzoek wegens ziekte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Wis- EN NATUURKUNDE) 1815-1817, Hoogleeraar.;zie: Nieuw Nederl. Biogr. Woordenboek II K. 122.;3954242;1619680;69924864
151;;Berg;Cornelis Christiaan;;Man;;18-12-1900;Rotterdam;Nederland;25-6-1990;Leiden;Nederland;Promotie;Leiden;1927;De Middeljavaansche historische traditie;Gewoon Hoogleraar;Aziatische Talen en Culturen;23-1-1929;;Javaansch. 1949-12-13 Onderwijsopdracht gewijzigd in : Austronesische linguïstiek;20-2-1929;Hoofdlijnen der Javaansche Litteratuurgeschiedenis;Letteren;20-9-1971;Eervol ontslag wegens emeritaat.;"1938-08-01 Verlof wegens reis naar N.O. Indië. 1946-08-01 Ambt hervat na afwezigheid tijdens oorlogsjaren. Rector Magnificus 1948-1949. 1949-02-08 Diesrede: ""Poëzie der herscheppende wetenschap""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. Leiden 1929 blz. 135.;49238135;;69171831
153;;Berg;Gerard Johan van den;;Man;;27-2-1911;Rotterdam;Nederland;01 ?-4-1996;;;Promotie;Leiden;1938;De electrische weerstand van zuivere metalen bij lage en zeer lage temperaturen;Gewoon Lector;Natuurkunde;30-7-1974;30-7-1974;Metaalfysica;17-10-1975;Onderzoek, onderwijs en organisatie;Wiskunde en Natuurwetenschappen;1-5-1976;Eervol ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1975-1980 blz. 29.;306161695;;69846111
154;;Berg;Jan Hendrik van den;;Man;;11-6-1914;Deventer;Nederland;-2022;;Nederland;Promotie;Utrecht;1946;De betekenis van de phaenomenologische of existentie?le anthropologie in de psychiatrie : een kritische studie over de autologische methode in de psychiatrie en haar toepassing op een bepaalde vorm van defectschizophrenie;Buitengewoon Hoogleraar;"Psychiatrie;Psychologie";14-10-1954;;Fenomenologische Methode en Conflictpsychologie. 1956-02-14 Onderwijsopdracht gewijzigd in: De Fenomenologische Methode, de Conflictpsychologie en de Pastorale Psychologie.;11-3-1955;Over neurotiserende factoren;Sociale Wetenschappen;;;Aanstelling 26 april 1968  Gerekend van 1 september 1963 Gewoon hoogleraar sociale geschiedenis;Gewoon Hoogleraar;Psychologie;23-12-1957;;Fenomenologische methode en conflictpsychologie;;;;;;;Gewoon Hoogleraar;;1-9-1963;;;;;Sociale Wetenschappen;1-9-1979;1979-11-05  Eervol ontslag wegens emeritaat miv 1979-09-01;"1968-04-26  Gerekend van 1963-09-01 Gewoon Hoogleraar Sociale Wetenschappen. 1979-09-14 Afscheidscollege: ""Het onderste kaakbeen, een metabletische les""";;;;;;;;;;;;;zie: JB der R.U. te Leiden 1955 blz. 117.;108270652;;68413580
155;;Berg;Johannes van den;;Man;;17-8-1922;Rotterdam;Nederland;20-3-2003;Den Haag;Nederland;Promotie;Kampen (Johannes Calvijn Academie);1956;Constrained by Jesus' love : an inquiry into the motives of the missionary awakening in Great Britain in the period between 1698;Gewoon Hoogleraar;"Geschiedenis van de Godsdienst;Kerkelijke Geschiedenis";13-10-1975;1-2-1976;Kerkgeschiedenis. 1977-02-17 Vakgebied gewijzigd in: Geschiedenis van het Christendom en van de leerstellingen van de christelijke godsdienst;5-11-1976;Een Leids pleidooi voor verdraagszaamheid. Het optreden van Jan Jacob Schultens in de zaak Van der Os;Godgeleerdheid;1-9-1987;Eervol ontslag op eigen verzoek;"1987-12-18 Afscheidscollege ""Dordt in de weegschaal. Kritische reacties op de synode van Dordrecht (1618-1619)""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1975-1980 blz 45.;110160633;;73284815
163;;Berkhof;Hendrikus;;Man;;11-6-1914;Appeltern;Nederland;17-12-1995;Leiderdorp;Nederland;Promotie;Leiden;1939;Die Theologie des Eusebius von Caesarea;Gewoon Hoogleraar;Dogmatiek;1-7-1960;;Dogmatiek en bijbelse theologie;7-10-1960;God voorwerp van Wetenschap;Godgeleerdheid;1-9-1981;Ontslag;"1959-11-17 Hoogleraar Godgeleerdheid vanwege Ned. Herv. Kerk . 1981-09-04 Afscheidscollege : ""God voorwerp van wetenschap? """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1961 blz. 178.;42649485;;06851588X
164;;Bernard;Jacques;;Man;;1-9-1658;Nyons;Frankrijk;27-4-1718;Leiden;Nederland;;;;;Gewoon Lector;Wiskunde;8-11-1705;;Wiskunde en Wijsbegeerte;17-12-1705;;"Wiskunde en Natuurwetenschappen; Wijsbegeerte";1712;;;Gewoon Hoogleraar;;8-2-1712;;;29-2-1712;;;27-4-1718;Overleden;;;;;;;;;;;;;;;;;;;;;;;;(WIJSBEGEERTE EN WISKUNDE) 1705-1718. Lector 1705-1712, Hoogleeraar;"zie: Molhuysen „Bronnen"" IV: - Nieuw Nederl. Biogr. Woordenboek III K. 101.";54226778;"1582081; 1624727";69864640
165;;Bernard;Josephus Chrysostomus Bernardus;;Man;;25-4-1774;Haarlem;Nederland;16-6-1852;'s-Hertogenbosch;Nederland;Promotie;Leiden;1796;Specimen sistens quaestiones medici argumenti;Gewoon Hoogleraar;;11-11-1817;;;7-3-1818;Oratio de ratione Hippocratica nostra non minus quam Boerhaavii aetate, commendanda;Geneeskunde;1824;Ontslag op eigen verzoek wegens benoeming tot Inspecteur-Generaal van de Geneeskundige Dienst bij land- enZeemacht, met behoud van titel van hoogleraar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1817-1824 Hoogleeraar.;zie: Nieuw Nederl. Biogr. Woordenboek IV K. 141.;310509050;"1623035; 1582108";70594228
167;;Bernini;Luigi Francesco;;Man;;24-12-1928;Napels;Italië;5-9-2013;Leiden;Nederland;Promotie;Napels;1953;;Gewoon Lector;;16-12-1971;1-1-1972;Biochemische anthropogenetica;;;Geneeskunde;;;;Gewoon Hoogleraar;;20-12-1979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;;Bertius;Petrus;Pieter;Man;;14-11-1565;Beveren (West-Vlaanderen);België;-1639;Parijs;Frankrijk;;;;;Gewoon Lector;Ethiek;1599;15-6-1599;Zedekunde;;;Wijsbegeerte;1600;;15 juni 1599: op eigen aanbod lector Zedekunde;Gewoon Hoogleraar;Ethiek;7-2-1600;;;;;Wijsbegeerte;1607;"in 1607 Regent Statencollege; professoraat vervalt";;Gewoon Hoogleraar;;5-4-1615;;;;;Wijsbegeerte;1619;afgezet wegens deelname aan Arminiaanse troebelen;;;;;;;;;;;;;(Statencollege EN PHILOSOFIE) 1593-1619. Onderregent Statencollege;"zie: Molhuysen „Bronnen"" I en II: - Nieuw Nedetl Biogr. Woordenboek I K. 320.";22171968;"1621757; 1621399; 1624514; 1620862; 1619746; 1622663; 1622731; 1619685; 1623626; 1624313";69430497
172;;Betsky-Zweig;Sarah;;Vrouw;;8-3-1923;Detroit;USA;1999;;;Promotie;New York;1954;America, American literature, and D. H. Lawrence: a study in reciprocity;Buitengewoon Lector;Engelse Taal- en Letterkunde;19-2-1968;1-9-1968;Amerikaanse letterkunde;;;Letteren;;;;Gewoon Lector;Engelse Taal- en Letterkunde;7-10-1968;;Amerikaanse letterkunde;8-10-1968;Response and responsibility. The teaching of poetry;Letteren;1-10-1985;Eervol ontslag;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1969/70 blz. 248.;255297150;;73150835
180;;Beyen;Hendrik Gerard;;Man;;17-8-1901;Utrecht;Nederland;15-11-1965;Leiden;Nederland;Promotie;Utrecht;1928;Über Stilleben aus Pompeji und Herculaneum;Gewoon Hoogleraar;Archeologie;20-8-1954;;Archaeologie;19-11-1954;De Romeinsche kunst. Verval, vervulling, belofte;Archeologie;;;;Gewoon Hoogleraar;"Archeologie;Klassieke Archeologie";20-8-1954;;Archeologie;19-11-1954;De Romeinse kunst. Verval, vervulling, belofte;;1965;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1955 blz. 115, In Mem. JB der R.U. te Leiden 1966/1967
            blz. 248 en In Mem. JB. Mij. der Ned. Lettert 1967/1968 blz. 51.";49367911;;68309465
181;;Beyma;Julius;Jucke;Man;;1539;Dokkum;Nederland;15-6-1598;Leeuwarden;Nederland;;;;;Gewoon Hoogleraar;Romeins Recht;1-8-1582;;Instituten en digesten;;;Rechtsgeleerdheid;-1600;vertrokken naar Franeker;Rector Magnificus 1589-1591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1581-1596. Lector 1581-1582, Hoogleeraar 1582-;"zie: Molhuysen „Bronnen"" I: - Nieuw Nederl. Biogr. Woordenboek I K. 342.";72304425;"1622414; 1624490; 1622296; 1620013; 1623305; 1622893; 1623060; 1625692";69938121
